City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
444,Harper,LR,78.84,broken clouds,4.375,-7.7169,
445,Mayor Pablo Lagerenza,PY,80.06,clear sky,-19.9309,-60.7718,
446,San Ramon De La Nueva Oran,AR,80.35,few clouds,-23.1322,-64.326,
447,Luanda,AO,76.77,overcast clouds,-8.8368,13.2343,
450,Qui Nhon,VN,76.39,overcast clouds,13.7667,109.2333,
451,Trincomalee,LK,80.13,broken clouds,8.5711,81.2335,
452,Rio Branco,BR,72.21,overcast clouds,-9.9747,-67.81,
454,Goundam,ML,71.87,clear sky,16.4145,-3.6708,
456,Phonhong,LA,71.42,overcast clouds,18.5007,102.4166,
457,Port Blair,IN,68.04,mist,11.6667,92.75,
458,Lucapa,AO,65.55,light rain,-8.4192,20.7447,
459,Kasangulu,CD,71.29,broken clouds,-4.5911,15.1708,
463,Mabaruma,GY,71.73,overcast clouds,8.2,-59.7833,
464,Hokitika,NZ,68.95,clear sky,-42.7167,170.9667,
471,Seagoville,US,65.35,clear sky,32.6396,-96.5383,
477,Kualakapuas,ID,84.36,overcast clouds,-3.0091,114.3876,
480,Tautira,PF,86.02,light rain,-17.7333,-149.15,
486,Christchurch,NZ,72.48,broken clouds,-43.5333,172.6333,
487,Bunia,CD,70.63,overcast clouds,1.5667,30.25,
491,Kaeo,NZ,72.32,overcast clouds,-35.1,173.7833,
492,Sampit,ID,79.32,overcast clouds,-2.5333,112.95,
493,Nortelandia,BR,72.27,overcast clouds,-14.4547,-56.8028,
494,Bongandanga,CD,68.36,overcast clouds,1.5,21.05,
502,Caravelas,BR,79.41,overcast clouds,-17.7125,-39.2481,
508,Tevaitoa,PF,80.67,clear sky,-16.7833,-151.5,
511,Colon,PA,79.45,clear sky,9.3592,-79.9014,
513,Mandera,KE,76.37,overcast clouds,3.9366,41.867,
514,Yeppoon,AU,87.58,scattered clouds,-23.1333,150.7333,
515,Itarema,BR,79.16,overcast clouds,-2.9248,-39.9167,
516,Port Shepstone,ZA,72.46,overcast clouds,-30.7414,30.455,
523,Santa Rosa,PH,86.09,broken clouds,14.3122,121.1114,
