City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Keti Bandar,PK,24.1447,67.4497,70.95,85,0,13.0,clear sky
117,Igrim,RU,63.1906,64.4162,-8.34,100,100,3.15,overcast clouds
118,Yaan,NG,7.3833,8.5667,77.63,14,100,8.32,overcast clouds
119,Kurilsk,RU,45.2333,147.8833,19.54,58,100,19.93,overcast clouds
120,Da Nang,VN,16.0678,108.2208,69.78,94,75,3.44,broken clouds
121,Gerash,IR,27.6652,54.1371,44.74,51,2,4.9,clear sky
122,Pevek,RU,69.7008,170.3133,-16.74,99,95,2.84,overcast clouds
123,Porto Tolle,IT,44.9497,12.3245,37.42,78,7,4.52,clear sky
124,Farafangana,MG,-22.8167,47.8333,74.08,77,30,3.42,scattered clouds
125,Nara,JP,34.6851,135.8049,42.08,54,23,5.82,few clouds
126,Shakawe,BW,-18.3667,21.85,66.16,95,100,7.65,light rain
127,Miri,MY,4.4148,114.0089,78.94,89,20,5.75,light rain
128,Namatanai,PG,-3.6667,152.4333,84.15,72,97,4.68,light rain
129,Hami,CN,42.8,93.45,21.13,43,78,1.59,broken clouds
130,Shingu,JP,33.7333,135.9833,45.59,41,0,5.28,clear sky
131,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,81,99,14.54,overcast clouds
132,New Norfolk,AU,-42.7826,147.0587,80.91,31,0,3.0,clear sky
133,Saint-Francois,FR,46.4154,3.9054,38.64,100,100,2.3,overcast clouds
134,Portobelo,PA,9.55,-79.65,78.04,75,19,11.9,few clouds
135,Havelock,US,34.8791,-76.9013,46.94,71,48,5.79,scattered clouds
136,Barrow,US,71.2906,-156.7887,-9.38,77,40,9.22,scattered clouds
137,Chuy,UY,-33.6971,-53.4616,70.63,78,0,12.64,clear sky
138,Kavieng,PG,-2.5744,150.7967,83.14,71,100,1.28,light rain
139,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,67,0,9.22,clear sky
140,Standerton,ZA,-26.9337,29.2415,61.61,98,100,2.48,light rain
141,Nelson Bay,AU,-32.7167,152.15,86.76,76,92,3.0,overcast clouds
142,Nicoya,CR,10.1483,-85.452,78.35,65,6,12.75,clear sky
143,Xining,CN,36.6167,101.7667,10.0,68,100,1.63,overcast clouds
144,Hambantota,LK,6.1241,81.1185,75.33,89,19,11.97,few clouds
145,Hovd,MN,48.0056,91.6419,-14.85,82,57,2.35,broken clouds
146,Brae,GB,60.3964,-1.353,39.11,98,100,4.72,overcast clouds
147,Middle Island,US,40.8843,-72.9373,23.25,64,0,3.44,clear sky
148,Lebu,CL,-37.6167,-73.65,57.78,72,1,20.0,clear sky
149,Balikpapan,ID,-1.2675,116.8289,77.99,89,20,3.44,moderate rain
150,Baie-Comeau,CA,49.2168,-68.1489,11.68,43,0,9.22,clear sky
151,Terre-De-Bas,GP,15.8501,-61.6442,72.91,74,7,12.62,clear sky
152,Talnakh,RU,69.4865,88.3972,-15.99,93,83,9.17,broken clouds
153,Ahipara,NZ,-35.1667,173.1667,75.83,55,100,14.56,light rain
154,Auki,SB,-8.7676,160.7034,86.45,67,99,4.45,overcast clouds
155,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,76.01,22,0,4.38,clear sky
156,Loei,TH,17.4167,101.5,60.44,56,6,1.81,clear sky
157,Kapit,MY,2.0167,112.9333,76.51,94,100,1.05,overcast clouds
158,Saint-Augustin,CA,51.226,-58.6502,10.8,81,100,23.42,overcast clouds
159,Qaanaaq,GL,77.484,-69.3632,-3.73,91,100,4.92,overcast clouds
160,Bilibino,RU,68.0546,166.4372,-9.24,95,76,5.19,broken clouds
161,Port Lincoln,AU,-34.7333,135.8667,73.02,66,2,7.05,clear sky
162,Novosokolniki,RU,56.3463,30.1578,28.87,99,100,1.61,overcast clouds
163,Kodiak,US,57.79,-152.4072,26.11,74,0,9.22,clear sky
164,Rincon,US,32.296,-81.2354,50.45,46,0,8.05,clear sky
165,Zinder,NE,13.8072,8.9881,58.62,16,6,13.98,clear sky
166,Bud,US,39.447,-86.1758,30.45,74,100,5.14,overcast clouds
167,Progreso,MX,21.2833,-89.6667,69.12,61,0,12.75,clear sky
168,Goderich,CA,43.7501,-81.7165,25.92,73,97,5.75,overcast clouds
169,Dikson,RU,73.5069,80.5464,-5.37,94,100,22.24,overcast clouds
170,Barentu,ER,15.1139,37.5928,63.57,61,0,2.24,clear sky
